id,hypothesis_category,text,expected_label,rationale
1,negation,The latest update did not improve battery life at all.,negative,Tests whether the model picks up the negation cue or just the trigger word 'improve'
2,lexical_trigger,This app is no longer reliable on my phone.,negative,Strong positive cue 'reliable' negated by 'no longer'; tests cue-vs-context handling
3,domain_shift,The team won the championship final last weekend.,neutral,Sports content unrelated to app-review training; tests domain-shift robustness
4,negation,The redesign does not make the app easier to use.,negative,Tests whether the model recognizes negation around positive usability language
5,negation,I can't say the experience was enjoyable.,negative,Tests indirect negation with positive trigger word
6,negation,The patch never fixed the crashing issue.,negative,Tests whether the model notices failed improvement statements
7,negation,The movie was not as exciting as the trailer suggested.,negative,Tests comparative negation handling
8,lexical_trigger,The app used to be amazing but now it barely works.,negative,Tests whether strong positive cue words dominate final sentiment
9,lexical_trigger,Great interface terrible performance.,negative,Tests conflicting positive and negative cue words
10,lexical_trigger,The service sounds premium but feels unusable.,negative,Tests whether surface-level positive words mislead the classifier
11,lexical_trigger,The phone is incredibly fast at draining battery.,negative,Tests misleading positive performance wording
12,domain_shift,The chef prepared a traditional pasta recipe for the event.,neutral,Recipe domain unrelated to app-review sentiment
13,domain_shift,Heavy rain is expected across the northern region tomorrow.,neutral,Weather-report domain shift example
14,domain_shift,The senator announced a new economic reform proposal.,neutral,Political news outside app-review distribution
15,domain_shift,Researchers discovered a new species in the rainforest.,neutral,Scientific reporting unrelated to app sentiment
16,length_extreme,Bad update.,negative,Very short negative input tests minimal context handling
17,length_extreme,Absolutely perfect.,positive,Very short positive input tests cue-word dependence
18,length_extreme,Not good.,negative,Short negation test with limited context
19,length_extreme,"The application initially appeared stable and responsive during the first few days of use, but after multiple updates and prolonged usage the overall experience became increasingly frustrating due to crashes, freezes, and inconsistent notifications.",negative,Long sentence tests whether the model preserves sentiment over extended context
20,length_extreme,"Although the software introduced several innovative features and a cleaner interface design, the constant lag and memory issues made daily usage difficult and disappointing over time.",negative,Long example with mixed cues and delayed negative sentiment
21,sarcasm,Fantastic another crash during my presentation.,negative,Tests sarcasm where positive surface form hides negative intent
22,sarcasm,Wonderful the app deleted all my files again.,negative,Tests sarcastic praise masking frustration
23,sarcasm,Yeah this is exactly what users needed more ads everywhere.,negative,Tests sarcastic agreement with clearly negative implication
24,sarcasm,Brilliant customer support they ignored me for two weeks.,negative,Tests sarcasm combined with customer-service complaint
25,other,The app is acceptable but nothing special.,neutral,Tests mild neutral sentiment without strong emotional cues
26,other,I expected worse but the update is actually decent.,positive,Tests mixed expectations with mildly positive outcome
27,other,The product works sometimes depending on the device.,neutral,Tests inconsistent functionality and ambiguous sentiment
28,other,"The game has beautiful graphics but repetitive gameplay.",neutral,Tests balanced positive and negative aspects
29,other,Customer support solved the issue faster than expected.,positive,Tests clearly positive service interaction
30,other,The platform became harder to navigate after the redesign.,negative,Tests usability degradation sentiment
